Record,exclude,Countytype,Age,Gender,BUS,BUS_history,EI,NascEntr,BUS_current,BRT,HPSs,RES_HPSs,ZRE_HPSs,ZHPSs,ZBRT
1,0,1,61,0,0,-1,10,0,-1,2,3.846153846,0.344677266,0.551689688,0.45863825,-0.462532808
3,0,3,54,0,1,0,11,0,1,3.125,4,0.438784364,0.702317306,0.700351958,0.793588471
4,0,3,78,1,1,1,14,0,1,3.875,3.769230769,0.414919289,0.664118918,0.337781397,1.631002657
5,0,1,58,0,1,0,5,0,1,1,4.692307692,1.16522866,1.865062478,1.788063642,-1.579085055
6,0,1,36,1,1,0,16,0,1,3.375,3.846153846,0.133408029,0.213532603,0.45863825,1.072726533
7,0,3,65,0,1,1,11,0,1,2.875,4.307692308,0.840352331,1.345066128,1.183779373,0.514450409
8,0,3,78,1,1,1,11,0,1,2.375,3.416666667,0.062355186,0.099805576,-0.21614585,-0.043825715
9,0,3,66,0,0,-1,12,0,-1,1.875,3.615384615,0.15657879,0.250619673,0.096067689,-0.602101839
10,0,1,57,1,0,-1,5,0,-1,1.125,3.769230769,0.23570212,0.377264305,0.337781397,-1.439516025
11,0,3,30,0,0,-1,12,0,-1,2.375,3.769230769,0.003195512,0.00511473,0.337781397,-0.043825715
12,0,2,46,0,0,-1,10,0,-1,2.625,3.846153846,0.216665003,0.346793537,0.45863825,0.235312347
13,0,2,59,0,0,-1,10,0,-1,3,3.538461538,0.019916657,0.031878558,-0.024789165,0.65401944
14,0,1,79,1,1,0,8,0,1,1.625,4.692307692,1.346530363,2.155253592,1.788063642,-0.881239901
15,0,1,56,0,1,0,21,1,2,3.375,2.846153846,-0.697993488,-1.117206871,-1.112500849,1.072726533
16,0,3,58,0,1,1,12,0,1,2.75,3.230769231,-0.296309802,-0.474272829,-0.50821658,0.374881378
17,0,1,50,1,1,0,11,0,1,3,3.538461538,-0.054806166,-0.087722632,-0.024789165,0.65401944
18,0,3,51,1,0,-1,7,0,-1,2.625,2.769230769,-0.815502785,-1.305291997,-1.233357703,0.235312347
19,0,1,59,1,1,0,16,0,1,3.625,4.230769231,0.714308884,1.143321258,1.062922519,1.351864595
20,0,1,44,1,0,-1,12,0,-1,1.125,3.615384615,-0.029087995,-0.046558182,0.096067689,-1.439516025
21,0,1,23,0,0,-1,19,0,-1,3.625,3.923076923,0.09730261,0.155742348,0.579495104,1.351864595
22,0,1,29,1,0,-1,19,0,-1,3.375,4.769230769,0.996745896,1.59538933,1.908920496,1.072726533
23,0,1,50,0,1,0,14,0,1,2.25,2.307692308,-1.287659932,-2.061025708,-1.958498826,-0.183394746
24,0,1,80,1,1,0,4,0,1,3.25,2.923076923,-0.414166256,-0.662913615,-0.991643995,0.933157502
25,0,1,42,0,1,0, ,0,1,3.375,3.666666667,0.00304122,0.004867771,0.176638925,1.072726533
26,0,1,58,0,1,0,7,0,1,3,3.846153846,0.319074814,0.510710458,0.45863825,0.65401944
27,0,1,74,0,0,-1,8,0,-1,2,2.538461538,-0.85207108,-1.363823132,-1.595928264,-0.462532808
28,0,1,49,1,1,0,9,0,1,2.5,3.769230769,0.167428913,0.267986358,0.337781397,0.095743316
29,0,1,48,1,1,1,17,0, ,3.625,3.692307692,0.081971686,0.131203703,0.216924543,1.351864595
31,0,1,45,1,0,-1,11,0,-1,3,3.307692308,-0.328246152,-0.525390082,-0.387359726,0.65401944
32,0,1,37,1,0,-1,13,0,-1,1.5,4.076923077,0.372711411,0.59656108,0.821208812,-1.020808932
33,0,3,70,0,0,-1,19,0,-1,3.5,3.461538462,0.036869239,0.059012825,-0.145646019,1.212295564
