ID,Age,Gender,BUS,BUS_history,Work_status,Work_status_gender,BUSsuccess,RevenueBest,MarketValBest,Operate_longest,AccGoals,BUS_current,HPS,SV,MV,Ex,ZRE_HPS,ZRE_HPS2,ZRE_SV,ZRE_SV2,ZRE_MV,ZRE_MV2,ZRE_Ex,ZRE_Ex2
S136,33,0,0,-1,0,, , , , , ,-1,6,4,1,0,-1.842778412,3.395832275,-1.616568307,2.61329309,-1.510907659,2.282841955,-1.433015226,2.053532638
S070,25,0,0,-1,0,, , , , , ,-1,10,3,6,1,-1.459299785,2.129555862,-2.033730845,4.136061148,-0.197249047,0.038907186,-1.011246067,1.022618607
S130,27,0,0,-1,0,, , , , , ,-1,14,9,2,1,-0.883759089,0.781030127,-0.2715264,0.073726586,-1.328821747,1.765767234,-0.990209289,0.980514437
S060,22,0,0,-1,0,, , , , , ,-1,17,5,6,4,-0.576943912,0.332864277,-1.505376309,2.266157832,-0.252234826,0.063622408,0.474947573,0.225575197
L134,31,0,0,-1,0,, , , , , ,-1,19,11,3,4,-0.135523908,0.01836673,0.369554124,0.136570251,-0.963449902,0.928235714,0.569613071,0.32445905
L124,47,0,0,-1,0,, , , , , ,-1,18,10,4,4,0.037493332,0.00140575,0.33888069,0.114840122,-0.37813494,0.142986033,0.737907289,0.544507167
S095,26,0,0,-1,0,, , , , , ,-1,22,7,12,1,0.171291269,0.029340699,-0.864295785,0.747007205,1.573424376,2.475664267,-1.000727678,1.001455886
S073,20,0,0,-1,0,, , , , , ,-1,23,7,10,4,0.190336098,0.03622783,-0.960918061,0.923363521,0.879337874,0.773235096,0.453910796,0.206035011
H055,50,0, ,-1,0,, , , , , ,-1,20,8,7,3,0.363676094,0.132260301,-0.189473845,0.035900338,0.553023254,0.30583472,0.263546186,0.069456592
L084,53,0,0,-1,0,, , , , , ,2,20,13,5,1,0.421294715,0.177489237,1.300501476,1.691304088,0.02389409,0.000570928,-0.716731185,0.513703592
S077,44,0,0,-1,0,, , , , , ,-1,22,10,7,4,0.517002994,0.267292095,0.290569552,0.084430665,0.443051695,0.196294805,0.706352123,0.498933322
L030,60,0,0,-1,0,, , , , , ,2,21,10,5,5,0.690020234,0.476127923,0.548228954,0.300554986,0.152194243,0.023163087,1.38056261,1.905953119
S067,24,0,0,-1,0,, , , , , ,-1,27,13,6,5,0.804289208,0.64688113,0.833493809,0.69471193,-0.21557764,0.046473719,1.001900619,1.00380485
S051,27,0,0,-1,0,, , , , , ,-1,27,16,4,6,0.861907829,0.742885105,1.746803457,3.051322316,-0.744706803,0.554588223,1.539372053,2.369666318
S037,28,0,0,-1,0,, , , , , ,-1,32,9,15,7,1.552524389,2.410331977,-0.255422687,0.065240749,2.486253977,6.181458838,2.05580671,4.226341231
H019,45,0,0,-1,0,, , , , , ,-1,30,15,10,4,1.610465765,2.593599981,1.748337448,3.056683831,1.337552703,1.789047233,0.716870512,0.51390333
L019,33,0,0,-1,0,, , , , , ,-1,40,17,13,8,2.722811988,7.413705121,2.131758569,4.544394597,1.993782,3.975166662,2.614314922,6.834642512
H068,66,0,1,0,0,, , , ,4, ,0,19,9,4,4,0.536693334,0.288039735,0.356518394,0.127105365,-0.02989167,0.000893512,0.937756673,0.879387577
H062,33,0,0,1,0,, , , , , ,0,25,14,7,3,0.708580929,0.502086933,1.266760059,1.604681048,0.24143717,0.058291907,0.084733579,0.007179779
L114,44,0, , ,0,, , , , , , ,12,8,2,1,-0.825817712,0.681974894,-0.286096121,0.081850991,-1.017235663,1.034768394,-0.811396683,0.658364577
S031,24,0, , ,0,, , , , , , ,17,6,7,3,-0.538531498,0.290016174,-1.184836047,1.403836459,0.076479832,0.005849165,-0.009931918,9.86E-05
S059,27,0, , ,0,, , , , , , ,26,6,13,5,0.727625758,0.529439244,-1.136524909,1.29168887,1.883810441,3.548741776,1.033455785,1.068030859
S092,24,0,1,0,1,0,3,0,0,2,1,0,19,6,9,3,-0.269967357,0.072882374,-1.184836047,1.403836459,0.660594775,0.436385457,-0.009931918,9.86E-05
S041,49,0,1,0,1,0,2,17000,17000,2,1,0,9,3,4,0,-1.132632889,1.282857262,-1.647241741,2.713405353,-0.341477754,0.116607056,-1.264721008,1.599519228
S087,56,0,0,-1,1,0, , , , , ,-1,1,1,0,0,-2.072446005,4.295032445,-2.111181426,4.457087012,-1.381407488,1.908286648,-1.191092288,1.418700838
