ID,Age,Gender,BUS,SerialEntr,BUS_history,Work_status,RevenueBest,MarketValBest,HPS,SV,MV,Ex,ZHPS,ZHPS2,ZSV,ZSV2,ZMV,ZMV2,ZEx,ZEx2,ZRE_HPS,ZRE_HPS2,ZRE_SV,ZRE_SV2,ZRE_MV,ZRE_MV2,ZRE_Ex,ZRE_Ex2
L003,68,1,1,1,1,5,150000,250000,18,11,4,1,-0.37,0.14,0.15,0.02,-0.75,0.56,-0.84,0.71,0.23,0.06,0.57,0.32,-0.20,0.04,-0.28,0.08
L005,40,1,1,0,0,4,5000000,20000000,18,7,9,0,-0.37,0.14,-0.85,0.72,0.64,0.41,-1.32,1.75,-0.44,0.19,-0.92,0.85,0.61,0.37,-1.35,1.83
L011,54,1,1,1,1,3,100000,400000,28,17,5,4,0.84,0.71,1.65,2.72,-0.47,0.22,0.60,0.36,1.16,1.34,1.85,3.43,-0.22,0.05,0.91,0.82
L013,51,1,1,0,0,5,1000000,4000000,22,9,10,1,0.11,0.01,-0.35,0.12,0.91,0.84,-0.84,0.71,0.33,0.11,-0.23,0.05,1.13,1.29,-0.63,0.40
L015,47,0,1,0,0,4,150000, ,8,4,3,0,-1.59,2.54,-1.60,2.55,-1.03,1.06,-1.32,1.75,-1.49,2.23,-1.38,1.91,-0.97,0.95,-1.46,2.14
L017,45,1,1,1,1,4,2000000,5000000,11,7,3,0,-1.23,1.51,-0.85,0.72,-1.03,1.06,-1.32,1.75,-1.20,1.44,-0.84,0.70,-0.98,0.97,-1.25,1.56
L018,54,1,1,0,0,2,300000,150000,10,4,3,1,-1.35,1.82,-1.60,2.55,-1.03,1.06,-0.84,0.71,-1.11,1.23,-1.45,2.09,-0.79,0.62,-0.57,0.32
L020,50,0,1,0,0,2,0,0,19,10,7,2,-0.25,0.06,-0.10,0.01,0.08,0.01,-0.36,0.13,-0.04,0.00,0.19,0.04,0.23,0.05,-0.42,0.17
L022,53,1,1,0,0,5,120000,400000,23,12,7,4,0.23,0.06,0.40,0.16,0.08,0.01,0.60,0.36,0.50,0.25,0.57,0.32,0.33,0.11,0.89,0.79
L024,56,1,1,1,1,3,2000000,100000000,16,6,7,2,-0.62,0.38,-1.10,1.20,0.08,0.01,-0.36,0.13,-0.31,0.09,-0.91,0.82,0.39,0.15,-0.03,0.00
L027,48,0,1,0,0,4,10000000,20000000,18,7,10,1,-0.37,0.14,-0.85,0.72,0.91,0.84,-0.84,0.71,-0.21,0.04,-0.60,0.36,1.03,1.07,-0.95,0.90
L029,73,1,1,0,0,2,170000,200000000,23,12,7,4,0.23,0.06,0.40,0.16,0.08,0.01,0.60,0.36,0.98,0.97,0.90,0.82,0.76,0.58,1.30,1.70
L034,62,1,1,0,0,5,1000000, ,7,5,2,0,-1.72,2.94,-1.35,1.81,-1.31,1.71,-1.32,1.75,-1.30,1.68,-1.06,1.12,-0.90,0.80,-0.89,0.80
L043,54,1,1,0,0,5,750000,20000000000,22,4,12,4,0.11,0.01,-1.60,2.55,1.47,2.16,0.60,0.36,0.40,0.16,-1.45,2.09,1.77,3.12,0.91,0.82
L044,50,1,1,1,1,4,100000, ,12,8,2,1,-1.11,1.22,-0.60,0.36,-1.31,1.71,-0.84,0.71,-0.95,0.91,-0.50,0.25,-1.16,1.34,-0.65,0.42
L045,57,1,1,0,0,3,10000000,450000,15,9,3,2,-0.74,0.55,-0.35,0.12,-1.03,1.06,-0.36,0.13,-0.41,0.17,-0.13,0.02,-0.72,0.52,-0.01,0.00
L046,31,1,1,0,0,2,30000, ,12,8,2,1,-1.11,1.22,-0.60,0.36,-1.31,1.71,-0.84,0.71,-1.41,1.99,-0.82,0.67,-1.57,2.48,-1.05,1.10
L049,37,1,1,1,1,0,5000000,35000000,12,8,2,1,-1.11,1.22,-0.60,0.36,-1.31,1.71,-0.84,0.71,-1.27,1.61,-0.72,0.52,-1.44,2.08,-0.92,0.85
L052,52,1,1,0,0,5,150000,1200000,14,7,4,2,-0.86,0.74,-0.85,0.72,-0.75,0.56,-0.36,0.13,-0.65,0.43,-0.72,0.52,-0.55,0.30,-0.12,0.01
L068,60,1,1,0,0,5,150000,50000000,12,8,2,1,-1.11,1.22,-0.60,0.36,-1.31,1.71,-0.84,0.71,-0.71,0.51,-0.33,0.11,-0.94,0.89,-0.44,0.20
L074,35,1,1,1,1,4,5000,2000000,22,6,10,5,0.11,0.01,-1.10,1.20,0.91,0.84,1.08,1.17,-0.06,0.00,-1.26,1.59,0.78,0.61,1.00,1.01
L076,38,1,1,1,1,5,2500000,5000000,21,12,7,0,-0.01,0.00,0.40,0.16,0.08,0.01,-1.32,1.75,-0.11,0.01,0.31,0.10,0.00,0.00,-1.39,1.94
